7.68, 1.74, 0.73, -5.57
7.84, 1.35, 0.64, -5.61
1.89, -1.21, 0.66, -5.63
1.80, 0.30, 0.63, -5.63
4.09, 1.12, 0.67, -5.75
6.81, 1.57, 0.60, -5.90
6.13, 0.07, 0.63, -5.96
7.10, 0.74, 0.51, -5.93
1.81, -0.36, 0.42, -5.88
6.46, 1.69, 0.51, -5.90
7.20, 1.45, 0.46, -5.99
7.61, 1.88, 0.55, -5.84
7.71, 0.49, 0.44, -6.12
4.94, -0.05, 0.42, -6.04
3.61, 0.31, 0.49, -6.05
2.05, 0.31, 0.46, -6.01
7.65, 1.79, 0.52, -6.13
7.98, 1.35, 0.49, -6.25
5.24, 0.14, 0.50, -6.25
7.93, 1.29, 0.47, -6.23
6.90, 1.92, 0.47, -6.32
8.95, 1.92, 0.48, -6.33
8.54, 2.39, 0.52, -6.41
9.70, 2.00, 0.48, -6.39
8.05, 1.85, 0.52, -6.45
4.56, 1.62, 0.53, -6.38
1.31, 1.38, 0.49, -6.44
1.62, 1.74, 0.51, -6.51
4.51, 1.87, 0.61, -6.53
1.51, 0.36, 0.64, -6.53
8.32, 2.43, 0.60, -6.56
8.96, 3.12, 0.60, -6.55
8.33, 3.54, 0.57, -6.44
9.02, 3.27, 0.50, -6.46
9.27, 3.06, 0.52, -6.53
8.77, 3.01, 0.47, -6.49
7.90, 3.31, 0.57, -6.40
6.30, 3.77, 0.51, -6.44
6.86, 4.45, 0.55, -6.45
6.89, 4.50, 0.65, -6.49
9.04, 5.00, 0.72, -6.52
8.25, 4.59, 0.66, -6.62
7.87, 5.06, 0.69, -6.67
8.78, 5.44, 0.65, -6.66
8.02, 5.48, 0.74, -6.60
9.30, 5.16, 0.75, -6.63
8.89, 5.21, 0.75, -6.56
8.66, 5.21, 0.74, -6.58
8.92, 5.87, 0.74, -6.50
9.08, 5.64, 0.85, -6.52
9.21, 5.07, 0.81, -6.52
10.30, 5.42, 0.80, -6.42
9.74, 5.03, 0.76, -6.28
4.67, 2.45, 0.74, -6.12
8.17, 4.54, 0.81, -6.10
8.99, 4.67, 0.79, -5.98
7.52, 3.80, 0.77, -5.91
9.85, 4.58, 0.84, -5.92
9.42, 4.26, 0.85, -5.94
9.15, 4.65, 0.91, -5.91
7.87, 4.26, 0.95, -5.99
7.93, 3.85, 0.95, -5.96
8.20, 3.55, 0.96, -5.96
6.00, 3.01, 0.97, -5.85
6.90, 3.63, 0.98, -5.72
8.29, 3.67, 0.98, -5.68
6.56, 3.11, 0.94, -5.61
7.44, 3.39, 1.06, -5.69
7.36, 3.32, 1.08, -5.69
7.15, 3.27, 1.09, -5.71
4.60, 2.49, 1.23, -5.79
8.21, 3.95, 1.40, -5.88
7.78, 3.68, 1.39, -5.88
8.20, 3.78, 1.43, -5.95
8.39, 4.01, 1.52, -5.84
7.60, 3.52, 1.50, -5.81
7.75, 4.03, 1.68, -5.78
7.33, 4.05, 1.72, -5.70
7.56, 3.64, 1.62, -5.75
7.71, 3.57, 1.71, -5.78
7.99, 4.12, 1.69, -5.93
7.23, 4.02, 1.76, -5.82
7.44, 3.75, 1.78, -5.88
7.23, 3.99, 1.87, -5.74
7.50, 3.80, 1.71, -5.82
6.89, 3.37, 1.72, -5.82
6.78, 3.79, 1.74, -5.78
6.45, 3.94, 1.89, -5.80
7.19, 4.29, 1.86, -5.75
7.33, 3.96, 1.83, -5.81
7.42, 3.74, 1.92, -5.66
7.20, 3.82, 1.95, -5.72
7.10, 4.21, 2.06, -5.67
7.20, 4.31, 2.11, -5.77
7.66, 4.57, 2.07, -5.64
7.29, 5.03, 2.10, -5.60
7.15, 4.58, 2.01, -5.55
6.97, 4.50, 2.04, -5.49
6.05, 4.16, 2.05, -5.44
6.97, 4.38, 2.09, -5.39
7.40, 4.65, 2.05, -5.41
7.59, 5.16, 2.06, -5.38
7.38, 5.02, 2.12, -5.34
6.87, 5.04, 2.15, -5.40
7.02, 5.07, 2.19, -5.57
7.48, 5.64, 2.09, -5.64
7.32, 5.57, 2.09, -5.65
7.09, 5.25, 2.14, -5.47
7.11, 5.30, 2.16, -5.45
7.15, 5.22, 2.17, -5.44
6.64, 5.38, 2.23, -5.41
6.66, 5.37, 2.11, -5.45
6.42, 5.06, 2.16, -5.25
6.22, 5.36, 2.13, -5.18
6.12, 5.57, 2.25, -5.15
5.88, 5.12, 2.31, -5.03
5.59, 5.51, 2.27, -5.02
5.36, 5.28, 2.37, -4.90
5.06, 4.71, 2.36, -4.82
4.66, 5.29, 2.54, -4.75
4.68, 5.28, 2.57, -4.69
4.39, 5.31, 2.63, -4.71
4.21, 5.52, 2.58, -4.66
4.31, 5.45, 2.62, -4.61
4.08, 5.90, 2.64, -4.60
4.07, 6.17, 2.69, -4.58
4.19, 5.96, 2.74, -4.62
4.16, 6.29, 2.88, -4.68
3.90, 6.64, 2.88, -4.65
3.83, 6.73, 2.88, -4.77
3.83, 7.08, 3.00, -4.64
3.69, 7.89, 3.08, -4.64
4.00, 6.98, 3.07, -4.54
4.31, 7.33, 3.08, -4.50
4.12, 7.00, 3.11, -4.29
4.44, 6.88, 3.04, -4.34
3.75, 6.89, 3.15, -4.25
4.19, 7.07, 3.16, -4.38
4.92, 6.88, 3.20, -4.30
4.53, 6.46, 3.15, -4.27
4.44, 5.03, 3.17, -4.12
4.39, 5.68, 3.24, -4.03
4.29, 5.30, 3.21, -4.07
4.16, 5.21, 3.32, -3.95
4.78, 5.50, 3.18, -4.05
4.16, 5.78, 3.21, -3.97
4.21, 5.66, 3.21, -3.93
4.52, 5.62, 3.28, -3.89
4.70, 5.98, 3.30, -3.95
4.52, 5.95, 3.36, -3.83
4.46, 5.53, 3.26, -3.92
4.07, 5.15, 3.27, -3.83
4.31, 4.80, 3.25, -3.88
4.17, 4.57, 3.34, -3.85
4.18, 4.80, 3.28, -3.88
4.22, 4.73, 3.30, -3.87
4.31, 4.81, 3.30, -3.81
4.44, 4.27, 3.28, -3.72
4.69, 4.55, 3.47, -3.58
4.77, 4.71, 3.47, -3.74
4.36, 4.69, 3.52, -3.64
4.72, 4.31, 3.46, -3.75
4.69, 4.32, 3.38, -3.79
4.61, 4.31, 3.51, -3.63
4.70, 3.95, 3.60, -3.51
4.60, 3.18, 3.76, -3.33
5.04, 3.29, 3.68, -3.35
4.64, 3.07, 3.75, -3.25
4.58, 3.31, 3.85, -3.15
4.75, 3.40, 3.89, -3.14
4.71, 3.71, 4.02, -3.10
4.74, 3.87, 3.99, -3.15
4.49, 3.64, 4.03, -3.06
4.75, 3.90, 3.95, -3.19
4.43, 3.98, 4.08, -3.04
4.62, 4.01, 4.05, -3.14
4.65, 3.96, 4.06, -3.11
4.79, 4.08, 3.99, -3.26
4.88, 3.72, 3.94, -3.19
5.59, 3.90, 3.92, -3.27
5.64, 4.05, 3.93, -3.24
5.66, 3.77, 3.96, -3.21
5.61, 3.72, 4.05, -3.22
5.64, 4.01, 3.86, -3.34
5.39, 4.06, 3.85, -3.29
5.74, 4.31, 3.94, -3.16
5.33, 4.21, 3.97, -3.14
5.12, 3.82, 4.03, -2.92
4.84, 3.60, 4.09, -2.88
4.86, 3.46, 4.19, -2.75
5.33, 3.86, 4.05, -2.85
4.99, 3.95, 4.30, -2.64
5.44, 3.71, 4.11, -2.83
5.13, 4.16, 4.23, -2.74
5.20, 4.50, 4.16, -2.89
5.33, 4.49, 4.07, -2.96
